sp;site;orig;ID;ind;blk;trt;DOY;size_end;Torig;Porig;Tdest;Pdest
LEO;GUD;GUD;G_P_2;Lg12;Lg1;c;245;2.5;5.87;1925;5.87;1925
LEO;GUD;GUD;G_P_5;Lg13;Lg1;c;245;2;5.87;1925;5.87;1925
LEO;GUD;GUD;G_P_1;Lg14;Lg1;c;245;2;5.87;1925;5.87;1925
LEO;GUD;GUD;G_C_6;Lg15;Lg1;c;245;2.5;5.87;1925;5.87;1925
LEO;GUD;GUD;G_P_3;Lg16;Lg1;c;245;3;5.87;1925;5.87;1925
LEO;GUD;GUD;G_C_2;Lg17;Lg2;c;245;2;5.87;1925;5.87;1925
LEO;GUD;GUD;G_P_4;Lg18;Lg2;c;245;3;5.87;1925;5.87;1925
LEO;GUD;GUD;G_P_1;Lg19;Lg2;c;245;4;5.87;1925;5.87;1925
LEO;GUD;GUD;G_C_6;Lg20;Lg2;c;245;3;5.87;1925;5.87;1925
LEO;GUD;GUD;G_C_7;Lg21;Lg2;c;245;2;5.87;1925;5.87;1925
LEO;GUD;GUD;G_C_5;Lg22;Lg2;c;245;2.5;5.87;1925;5.87;1925
LEO;GUD;GUD;G_P_5;Lg23;Lg2;c;245;2.5;5.87;1925;5.87;1925
LEO;GUD;GUD;G_C_3;Lg24;Lg2;c;245;2.5;5.87;1925;5.87;1925
LEO;GUD;GUD;G_C_1;Lg25;Lg2;c;245;3;5.87;1925;5.87;1925
LEO;GUD;GUD;G_P_2;Lg26;Lg2;c;245;4;5.87;1925;5.87;1925
LEO;GUD;GUD;G_P_6;Lg27;Lg2;c;245;3;5.87;1925;5.87;1925
LEO;GUD;GUD;G_C_4;Lg28;Lg2;c;245;3;5.87;1925;5.87;1925
LEO;GUD;GUD;G_P_3;Lg29;Lg2;c;245;2.5;5.87;1925;5.87;1925
LEO;GUD;GUD;G_C_7;Lg30;Lg3;c;245;2.5;5.87;1925;5.87;1925
LEO;GUD;GUD;G_P_3;Lg31;Lg3;c;245;3;5.87;1925;5.87;1925
LEO;GUD;GUD;G_C_6;Lg32;Lg3;c;245;3.5;5.87;1925;5.87;1925
LEO;GUD;GUD;G_C_8;Lg33;Lg3;c;245;2;5.87;1925;5.87;1925
